nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient011
2022-09-22 10:05:58.282899: I tensorflow/core/util/util.cc:169] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
current logging run number for gym_cancer:CancerControl-v0 :  0
save checkpoint path : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/
save checkpoint format : patient011_5_20220922-1005-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 1
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  1000  decay ratio :  0.8
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  1e-05
The local computer has : 24 cores
============================================================================================
Started training at (GMT) :  2022-09-22 10:06:04
============================================================================================
Updates : 414 		 Survival : 8.0  		 Treated : 0 		 Reward : -1.21
Updates : 416 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 418 		 Survival : 17.0  		 Treated : 0 		 Reward : 19.15
Updates : 420 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.49
Updates : 422 		 Survival : 64.0  		 Treated : 0 		 Reward : 85.7
Updates : 424 		 Survival : 28.0  		 Treated : 0 		 Reward : 124.55
Updates : 426 		 Survival : 24.0  		 Treated : 0 		 Reward : 137.67
Updates : 428 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 430 		 Survival : 12.0  		 Treated : 0 		 Reward : 6.04
Updates : 432 		 Survival : 41.0  		 Treated : 0 		 Reward : 224.32
Updates : 434 		 Survival : 13.0  		 Treated : 0 		 Reward : 7.59
Updates : 436 		 Survival : 50.0  		 Treated : 0 		 Reward : 355.39
Updates : 438 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 440 		 Survival : 7.0  		 Treated : 0 		 Reward : 2.73
Updates : 442 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 444 		 Survival : 17.0  		 Treated : 0 		 Reward : 6.94
Updates : 446 		 Survival : 23.0  		 Treated : 0 		 Reward : 91.91
Updates : 448 		 Survival : 23.0  		 Treated : 0 		 Reward : 77.17
Updates : 450 		 Survival : 35.0  		 Treated : 0 		 Reward : 210.54
Updates : 452 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 454 		 Survival : 12.0  		 Treated : 0 		 Reward : -10.95
Updates : 456 		 Survival : 43.0  		 Treated : 0 		 Reward : -10.25
Updates : 458 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 460 		 Survival : 5.0  		 Treated : 0 		 Reward : 0.27
Updates : 462 		 Survival : 24.0  		 Treated : 0 		 Reward : 148.07
Updates : 464 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 466 		 Survival : 40.0  		 Treated : 0 		 Reward : 229.43
Updates : 468 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 470 		 Survival : 36.0  		 Treated : 0 		 Reward : 5.43
Updates : 472 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 474 		 Survival : 12.0  		 Treated : 0 		 Reward : 11.45
Updates : 476 		 Survival : 6.0  		 Treated : 0 		 Reward : 3.03
Updates : 478 		 Survival : 14.0  		 Treated : 0 		 Reward : 12.71
Updates : 480 		 Survival : 14.0  		 Treated : 0 		 Reward : 44.19
Updates : 482 		 Survival : 70.0  		 Treated : 0 		 Reward : 392.02
Updates : 484 		 Survival : 6.0  		 Treated : 0 		 Reward : 1.53
Updates : 486 		 Survival : 37.0  		 Treated : 0 		 Reward : 186.26
Updates : 488 		 Survival : 17.0  		 Treated : 0 		 Reward : 63.53
Updates : 490 		 Survival : 66.0  		 Treated : 0 		 Reward : 344.47
